,file,line,severity,issue,snippet
3002,/audit/backend/public/api/chatbot_nodes.php,72,INFO,Raw SQL \bUPDATE\b,"$stmt = $db->prepare('UPDATE bt_chatbot_nodes SET type=?, content=?, metadata=?, is_active=?, created_by=? WHERE id=?');"
3003,/audit/backend/public/api/chatbot_nodes.php,83,INFO,Raw SQL \bDELETE\b,case 'DELETE':
2995,/audit/backend/public/api/chatbot_nodes.php,84,INFO,Superglobal access \$_GET\[[^\]]+\],$id = $_GET['id'] ?? null;
3004,/audit/backend/public/api/chatbot_nodes.php,86,INFO,Raw SQL \bDELETE\b,$stmt = $db->prepare('DELETE FROM bt_chatbot_nodes WHERE id = ?');
3011,/audit/backend/public/api/chatbot_options.php,8,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3012,/audit/backend/public/api/chatbot_options.php,22,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3005,/audit/backend/public/api/chatbot_options.php,45,INFO,Superglobal access \$_GET\[[^\]]+\],if (isset($_GET['id'])) {
3013,/audit/backend/public/api/chatbot_options.php,46,INFO,Raw SQL \bSELECT\b,$stmt = $db->prepare('SELECT * FROM bt_chatbot_options WHERE id = ?');
3006,/audit/backend/public/api/chatbot_options.php,47,INFO,Superglobal access \$_GET\[[^\]]+\],$stmt->execute([$_GET['id']]);
3007,/audit/backend/public/api/chatbot_options.php,50,INFO,Superglobal access \$_GET\[[^\]]+\],} elseif (isset($_GET['node_id'])) {
3014,/audit/backend/public/api/chatbot_options.php,51,INFO,Raw SQL \bSELECT\b,$stmt = $db->prepare('SELECT * FROM bt_chatbot_options WHERE node_id = ? ORDER BY order_position');
3008,/audit/backend/public/api/chatbot_options.php,52,INFO,Superglobal access \$_GET\[[^\]]+\],$stmt->execute([$_GET['node_id']]);
3015,/audit/backend/public/api/chatbot_options.php,56,INFO,Raw SQL \bSELECT\b,$stmt = $db->query('SELECT * FROM bt_chatbot_options');
3016,/audit/backend/public/api/chatbot_options.php,63,INFO,Raw SQL \bINSERT\b,"$stmt = $db->prepare('INSERT INTO bt_chatbot_options ( node_id, text, next_node_id, action_type, action_data, order_position, is_active) VALUES (?, ?, ?, ?, ?, ?, ?, ?)');"
3017,/audit/backend/public/api/chatbot_options.php,78,INFO,Raw SQL \bUPDATE\b,"$stmt = $db->prepare('UPDATE bt_chatbot_options SET node_id=?, text=?, next_node_id=?, action_type=?, action_data=?, order_position=?, is_active=? WHERE id=?');"
3018,/audit/backend/public/api/chatbot_options.php,91,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3009,/audit/backend/public/api/chatbot_options.php,92,INFO,Superglobal access \$_GET\[[^\]]+\],$id = $_GET['id'] ?? null;
3019,/audit/backend/public/api/chatbot_options.php,94,INFO,Raw SQL \bDELETE\b,$stmt = $db->prepare('DELETE FROM bt_chatbot_options WHERE id = ?');
4290,/audit/backend/public/api/cv/confirm.php,10,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
4291,/audit/backend/public/api/cv/confirm.php,31,INFO,Raw SQL \bDELETE\b,// CSRF requerido para POST/PUT/DELETE
4292,/audit/backend/public/api/cv/confirm.php,32,INFO,Raw SQL \bDELETE\b,"if (in_array($_SERVER['REQUEST_METHOD'], ['POST', 'PUT', 'DELETE'])) {"
4293,/audit/backend/public/api/cv/confirm.php,255,INFO,Raw SQL \bSELECT\b,$stmt = $pdo->prepare('SELECT id FROM bt_candidates WHERE email = ? FOR UPDATE');
4294,/audit/backend/public/api/cv/confirm.php,255,INFO,Raw SQL \bUPDATE\b,$stmt = $pdo->prepare('SELECT id FROM bt_candidates WHERE email = ? FOR UPDATE');
4295,/audit/backend/public/api/cv/confirm.php,260,INFO,Raw SQL \bUPDATE\b,"$upd = $pdo->prepare('UPDATE bt_candidates SET name = ?, phone = ?, location = ?, date_of_birth = ?, linkedin_url = ?, portfolio_url = ?, updated_at = NOW() WHERE id = ?');"
4296,/audit/backend/public/api/cv/confirm.php,271,INFO,Raw SQL \bINSERT\b,"$ins = $pdo->prepare('INSERT INTO bt_candidates (name, email, phone, location, date_of_birth, linkedin_url, portfolio_url, registration_source, created_at) VALUES (?,?,?,?,?,?,?,?,NOW())');"
4297,/audit/backend/public/api/cv/confirm.php,291,INFO,Raw SQL \bDELETE\b,"$pdo->prepare(""DELETE FROM $t WHERE candidate_id = ?"")->execute([$candidateId]);"
4298,/audit/backend/public/api/cv/confirm.php,296,INFO,Raw SQL \bINSERT\b,"$iexp = $pdo->prepare('INSERT INTO bt_candidate_experiences (candidate_id, company, position, start_date, end_date, current, description, location, created_at) VALUES (?,?,?,?,?,?,?,?,NOW())');"
4299,/audit/backend/public/api/cv/confirm.php,313,INFO,Raw SQL \bINSERT\b,"$iedu = $pdo->prepare('INSERT INTO bt_candidate_education (candidate_id, institution_name, degree_title, start_date, end_date, description, created_at) VALUES (?,?,?,?,?,?,NOW())');"
4301,/audit/backend/public/api/cv/delete.php,14,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
4302,/audit/backend/public/api/cv/delete.php,28,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
4307,/audit/backend/public/api/cv/export.php,10,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
4308,/audit/backend/public/api/cv/export.php,66,INFO,Raw SQL \bSELECT\b,"$stmt = $pdo->prepare('SELECT id,name as nombre,email,phone as telefono,location as ubicacion_actual,date_of_birth as fecha_nacimiento,linkedin_url as linkedin,portfolio_url as portfolio,created_at,updated_at FROM bt_candidates WHERE id=?');"
4309,/audit/backend/public/api/cv/export.php,74,INFO,Raw SQL \bSELECT\b,"$exp = $pdo->prepare('SELECT company as empresa, position as puesto, start_date as fecha_inicio, end_date as fecha_fin, current as actual, description as descripcion, location as ubicacion FROM bt_candidate_experiences WHERE candidate_id=? ORDER BY start_date DESC');"
4310,/audit/backend/public/api/cv/export.php,76,INFO,Raw SQL \bSELECT\b,"$edu = $pdo->prepare('SELECT institution_name as institucion, degree_title as titulo, start_date as fecha_inicio, end_date as fecha_fin, description as descripcion FROM bt_candidate_education WHERE candidate_id=? ORDER BY start_date DESC');"
4312,/audit/backend/public/api/cv/ingest.php,13,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
4313,/audit/backend/public/api/cv/ingest.php,27,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
4328,/audit/backend/public/api/cv/parse.php,6,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
4329,/audit/backend/public/api/cv/parse.php,22,INFO,Raw SQL \bDELETE\b,// POST/PUT/PATCH/DELETE
4331,/audit/backend/public/api/cv/schema.php,6,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
3109,/audit/backend/public/api/departments.php,55,INFO,Raw SQL \bDELETE\b,"header('Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS');"
3110,/audit/backend/public/api/departments.php,128,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'DELETE'], true)) {"
3021,/audit/backend/public/api/departments.php,410,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = isset($_GET['id']) ? filter_var($_GET['id'], FILTER_VALIDATE_INT) : null;"
3022,/audit/backend/public/api/departments.php,411,INFO,Superglobal access \$_GET\[[^\]]+\],"$page = isset($_GET['page']) ? max(1, (int)$_GET['page']) : 1;"
3023,/audit/backend/public/api/departments.php,412,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = isset($_GET['limit']) ? min(max((int)$_GET['limit'], 1), 100) : 20;"
3024,/audit/backend/public/api/departments.php,414,INFO,Superglobal access \$_GET\[[^\]]+\],"$activeOnly = isset($_GET['active_only']) ? filter_var($_GET['active_only'], FILTER_VALIDATE_BOOLEAN) : false;"
3111,/audit/backend/public/api/departments.php,418,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_departments WHERE id = ?"";"
3112,/audit/backend/public/api/departments.php,435,INFO,Raw SQL \bSELECT\b,"$catStmt = $db->prepare(""SELECT * FROM bt_department_categories WHERE department_id = ? ORDER BY id ASC"");"
3113,/audit/backend/public/api/departments.php,455,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_departments WHERE 1=1"";"
3114,/audit/backend/public/api/departments.php,472,INFO,Raw SQL \bSELECT\b,"$catStmt = $db->prepare(""SELECT * FROM bt_department_categories WHERE department_id = ? ORDER BY id ASC"");"
3115,/audit/backend/public/api/departments.php,480,INFO,Raw SQL \bSELECT\b,"$countSql = ""SELECT COUNT(*) FROM bt_departments WHERE 1=1"";"
3116,/audit/backend/public/api/departments.php,574,INFO,Raw SQL \bSELECT\b,$dupeStmt = $db->prepare('SELECT id FROM bt_departments WHERE name = ? AND active = 1');
3117,/audit/backend/public/api/departments.php,587,INFO,Raw SQL \bINSERT\b,"$sql = ""INSERT INTO bt_departments (name, description, code, active, created_by, created_at, updated_at)"
3025,/audit/backend/public/api/departments.php,664,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = isset($_GET['id']) ? filter_var($_GET['id'], FILTER_VALIDATE_INT) : null;"
3118,/audit/backend/public/api/departments.php,704,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare('SELECT id, name FROM bt_departments WHERE id = ?');"
3119,/audit/backend/public/api/departments.php,715,INFO,Raw SQL \bSELECT\b,$dupeStmt = $db->prepare('SELECT id FROM bt_departments WHERE name = ? AND id != ? AND active = 1');
3120,/audit/backend/public/api/departments.php,747,INFO,Raw SQL \bUPDATE\b,"$sql = 'UPDATE bt_departments SET ' . implode(', ', $updateFields) . ', updated_at = NOW(), updated_by = ? WHERE id = ?';"
3121,/audit/backend/public/api/departments.php,792,INFO,Raw SQL \bDELETE\b,* Maneja DELETE - Eliminar departamento con soft delete y control de acceso mejorado
3026,/audit/backend/public/api/departments.php,808,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = isset($_GET['id']) ? filter_var($_GET['id'], FILTER_VALIDATE_INT) : null;"
3122,/audit/backend/public/api/departments.php,828,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare('SELECT id, name, active FROM bt_departments WHERE id = ?');"
3123,/audit/backend/public/api/departments.php,851,INFO,Raw SQL \bSELECT\b,"$depStmt = $db->prepare(""SELECT COUNT(*) as count FROM {$table} WHERE {$column} = ? AND active = 1"");"
3124,/audit/backend/public/api/departments.php,872,INFO,Raw SQL \bUPDATE\b,"$stmt = $db->prepare('UPDATE bt_departments SET active = 0, deleted_at = NOW(), deleted_by = ? WHERE id = ?');"
3125,/audit/backend/public/api/departments.php,938,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3128,/audit/backend/public/api/extract_skills.php,12,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3133,/audit/backend/public/api/get-notification-preferences.php,11,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3134,/audit/backend/public/api/get-notification-preferences.php,61,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT application_updates, new_jobs, reminders FROM bt_notification_preferences WHERE candidate_id = ?"");"
3144,/audit/backend/public/api/health-ai.php,9,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
3149,/audit/backend/public/api/health-check.php,34,INFO,Raw SQL \bSELECT\b,$stmt = $pdo->prepare('SELECT 1 as health_check');
3161,/audit/backend/public/api/health-ocr.php,9,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
3165,/audit/backend/public/api/health.php,19,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
4338,/audit/backend/public/api/hr/dashboard-stats.php,8,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
4339,/audit/backend/public/api/hr/dashboard-stats.php,39,INFO,Raw SQL \bSELECT\b,SELECT
4340,/audit/backend/public/api/hr/dashboard-stats.php,40,INFO,Raw SQL \bSELECT\b,"(SELECT COUNT(*) FROM bt_candidates WHERE status = 'active') as total_candidates,"
4341,/audit/backend/public/api/hr/dashboard-stats.php,41,INFO,Raw SQL \bSELECT\b,"(SELECT COUNT(*) FROM bt_jobs WHERE status = 'open') as active_jobs,"
4342,/audit/backend/public/api/hr/dashboard-stats.php,42,INFO,Raw SQL \bSELECT\b,"(SELECT COUNT(*) FROM bt_applications) as total_applications,"
4343,/audit/backend/public/api/hr/dashboard-stats.php,43,INFO,Raw SQL \bSELECT\b,(SELECT COUNT(*) FROM bt_applications WHERE status = 'hired') as hired_count
4344,/audit/backend/public/api/hr/dashboard-stats.php,50,INFO,Raw SQL \bSELECT\b,SELECT
4345,/audit/backend/public/api/hr/dashboard-stats.php,62,INFO,Raw SQL \bSELECT\b,SELECT
4346,/audit/backend/public/api/hr/dashboard-stats.php,76,INFO,Raw SQL \bSELECT\b,SELECT
3299,/audit/backend/public/api/interviews.php,44,INFO,Raw SQL \bDELETE\b,"header('Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS');"
3300,/audit/backend/public/api/interviews.php,122,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'DELETE'], true)) {"
3168,/audit/backend/public/api/interviews.php,460,INFO,Superglobal access \$_GET\[[^\]]+\],$id = isset($_GET['id']) ? strip_tags($_GET['id']) : null;
3169,/audit/backend/public/api/interviews.php,461,INFO,Superglobal access \$_GET\[[^\]]+\],"$applicationId = isset($_GET['applicationId']) ? filter_var($_GET['applicationId'], FILTER_VALIDATE_INT) : null;"
3170,/audit/backend/public/api/interviews.php,462,INFO,Superglobal access \$_GET\[[^\]]+\],"$page = isset($_GET['page']) ? max(1, (int)$_GET['page']) : 1;"
3171,/audit/backend/public/api/interviews.php,463,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = isset($_GET['limit']) ? min(max((int)$_GET['limit'], 1), 50) : 20;"
3172,/audit/backend/public/api/interviews.php,467,INFO,Superglobal access \$_GET\[[^\]]+\],$statusFilter = isset($_GET['status']) ? strip_tags($_GET['status']) : null;
3173,/audit/backend/public/api/interviews.php,468,INFO,Superglobal access \$_GET\[[^\]]+\],$typeFilter = isset($_GET['type']) ? strip_tags($_GET['type']) : null;
3301,/audit/backend/public/api/interviews.php,483,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_interviews WHERE id = ?"";"
3302,/audit/backend/public/api/interviews.php,512,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_interviews WHERE application_id = ?"";"
3303,/audit/backend/public/api/interviews.php,548,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_interviews WHERE 1=1"";"
3304,/audit/backend/public/api/interviews.php,572,INFO,Raw SQL \bSELECT\b,"$countSql = ""SELECT COUNT(*) FROM bt_interviews WHERE 1=1"";"
3305,/audit/backend/public/api/interviews.php,689,INFO,Raw SQL \bSELECT\b,"SELECT a.id, a.status, j.recruiter_id"
3306,/audit/backend/public/api/interviews.php,738,INFO,Raw SQL \bSELECT\b,SELECT id FROM bt_interviews
3307,/audit/backend/public/api/interviews.php,761,INFO,Raw SQL \bINSERT\b,"$sql = ""INSERT INTO bt_interviews ("
3174,/audit/backend/public/api/interviews.php,842,INFO,Superglobal access \$_GET\[[^\]]+\],$id = isset($_GET['id']) ? strip_tags($_GET['id']) : null;
3308,/audit/backend/public/api/interviews.php,901,INFO,Raw SQL \bSELECT\b,"SELECT i.id, i.application_id, i.status, i.scheduled_at, a.recruiter_id"
3309,/audit/backend/public/api/interviews.php,986,INFO,Raw SQL \bUPDATE\b,"$sql = 'UPDATE bt_interviews SET ' . implode(', ', $updateFields) . ', updated_at = NOW() WHERE id = ?';"
3310,/audit/backend/public/api/interviews.php,1035,INFO,Raw SQL \bDELETE\b,* Maneja DELETE - Eliminar entrevista con control de acceso mejorado y rate limiting
3175,/audit/backend/public/api/interviews.php,1053,INFO,Superglobal access \$_GET\[[^\]]+\],$id = isset($_GET['id']) ? strip_tags($_GET['id']) : null;
3311,/audit/backend/public/api/interviews.php,1081,INFO,Raw SQL \bSELECT\b,"SELECT i.id, i.application_id, i.status, i.scheduled_at, i.type, a.recruiter_id"
3312,/audit/backend/public/api/interviews.php,1144,INFO,Raw SQL \bUPDATE\b,UPDATE bt_interviews
3313,/audit/backend/public/api/interviews.php,1268,INFO,Raw SQL \bDELETE\b,"$allowedMethods = ['GET', 'POST', 'PUT', 'DELETE'];"
3314,/audit/backend/public/api/interviews.php,1358,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3439,/audit/backend/public/api/job_benefits.php,12,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3433,/audit/backend/public/api/job_benefits.php,34,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = $_GET['jobId'] ?? null;
3434,/audit/backend/public/api/job_benefits.php,35,INFO,Superglobal access \$_GET\[[^\]]+\],"$page = isset($_GET['page']) ? max(1, (int)$_GET['page']) : 1;"
3435,/audit/backend/public/api/job_benefits.php,36,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = isset($_GET['limit']) ? max(1, (int)$_GET['limit']) : 20;"
3440,/audit/backend/public/api/job_benefits.php,39,INFO,Raw SQL \bSELECT\b,"$st = $db->prepare('SELECT id, job_id, benefit FROM bt_job_benefits WHERE job_id = ? ORDER BY id ASC LIMIT ? OFFSET ?');"
3441,/audit/backend/public/api/job_benefits.php,46,INFO,Raw SQL \bSELECT\b,"$st = $db->prepare('SELECT id, job_id, benefit FROM bt_job_benefits ORDER BY job_id ASC, id ASC LIMIT ? OFFSET ?');"
3446,/audit/backend/public/api/job_requirements.php,6,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3442,/audit/backend/public/api/job_requirements.php,18,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = (int)($_GET['job_id'] ?? 0);
3447,/audit/backend/public/api/job_requirements.php,25,INFO,Raw SQL \bSELECT\b,"$stmt = $model->getPdo()->prepare(""SELECT id, job_id, requirement, created_at, updated_at FROM bt_job_requirements WHERE job_id = :job_id ORDER BY id"");"
3448,/audit/backend/public/api/job_requirements.php,43,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3443,/audit/backend/public/api/job_requirements.php,44,INFO,Superglobal access \$_GET\[[^\]]+\],$id = (int)($_GET['id'] ?? 0);
3453,/audit/backend/public/api/job_requirements_new.php,6,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3449,/audit/backend/public/api/job_requirements_new.php,18,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = (int)($_GET['job_id'] ?? 0);
3454,/audit/backend/public/api/job_requirements_new.php,25,INFO,Raw SQL \bSELECT\b,"$stmt = $model->getPdo()->prepare(""SELECT id, job_id, requirement, created_at, updated_at FROM bt_job_requirements WHERE job_id = :job_id ORDER BY id"");"
3455,/audit/backend/public/api/job_requirements_new.php,43,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3450,/audit/backend/public/api/job_requirements_new.php,44,INFO,Superglobal access \$_GET\[[^\]]+\],$id = (int)($_GET['id'] ?? 0);
3462,/audit/backend/public/api/job_requirements_updated.php,8,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3456,/audit/backend/public/api/job_requirements_updated.php,30,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = $_GET['jobId'] ?? null;
3457,/audit/backend/public/api/job_requirements_updated.php,31,INFO,Superglobal access \$_GET\[[^\]]+\],"$page = isset($_GET['page']) ? max(1, (int)$_GET['page']) : 1;"
3458,/audit/backend/public/api/job_requirements_updated.php,32,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = isset($_GET['limit']) ? max(1, (int)$_GET['limit']) : 20;"
3463,/audit/backend/public/api/job_requirements_updated.php,37,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT id, job_id, requirement, created_at, updated_at"
3464,/audit/backend/public/api/job_requirements_updated.php,46,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT id, job_id, requirement, created_at, updated_at"
3469,/audit/backend/public/api/job_skills.php,13,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3465,/audit/backend/public/api/job_skills.php,23,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = (int)($_GET['job_id'] ?? 0);
3470,/audit/backend/public/api/job_skills.php,49,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3466,/audit/backend/public/api/job_skills.php,50,INFO,Superglobal access \$_GET\[[^\]]+\],$id = (int)($_GET['id'] ?? 0);
3475,/audit/backend/public/api/job_skills_new.php,6,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3471,/audit/backend/public/api/job_skills_new.php,18,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = (int)($_GET['job_id'] ?? 0);
3476,/audit/backend/public/api/job_skills_new.php,25,INFO,Raw SQL \bSELECT\b,"$stmt = $model->db->prepare(""SELECT id, job_id, skill, level, required, created_at, updated_at FROM bt_job_skills WHERE job_id = :job_id ORDER BY id"");"
3477,/audit/backend/public/api/job_skills_new.php,45,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3472,/audit/backend/public/api/job_skills_new.php,46,INFO,Superglobal access \$_GET\[[^\]]+\],$id = (int)($_GET['id'] ?? 0);
3484,/audit/backend/public/api/job_skills_updated.php,8,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST', 'PUT', 'PATCH', 'DELETE'], true)) {"
3478,/audit/backend/public/api/job_skills_updated.php,30,INFO,Superglobal access \$_GET\[[^\]]+\],$jobId = $_GET['jobId'] ?? null;
3479,/audit/backend/public/api/job_skills_updated.php,31,INFO,Superglobal access \$_GET\[[^\]]+\],"$page = isset($_GET['page']) ? max(1, (int)$_GET['page']) : 1;"
3480,/audit/backend/public/api/job_skills_updated.php,32,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = isset($_GET['limit']) ? max(1, (int)$_GET['limit']) : 20;"
3485,/audit/backend/public/api/job_skills_updated.php,37,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT id, job_id, skill, level, required, created_at, updated_at"
3486,/audit/backend/public/api/job_skills_updated.php,46,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT id, job_id, skill, level, required, created_at, updated_at"
3421,/audit/backend/public/api/jobs.php,51,INFO,Raw SQL \bDELETE\b,"header('Access-Control-Allow-Methods: GET, POST, PUT, DELETE, OPTIONS');"
3317,/audit/backend/public/api/jobs.php,740,INFO,Superglobal access \$_GET\[[^\]]+\],"if (strpos($path, '/translate') !== false || (isset($_GET['action']) && $_GET['action'] === 'translate')) {"
3422,/audit/backend/public/api/jobs.php,761,INFO,Raw SQL \bDELETE\b,case 'DELETE':
3318,/audit/backend/public/api/jobs.php,796,INFO,Superglobal access \$_GET\[[^\]]+\],if (isset($_GET['id'])) {
3319,/audit/backend/public/api/jobs.php,797,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = filter_var($_GET['id'], FILTER_VALIDATE_INT);"
3423,/audit/backend/public/api/jobs.php,803,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_jobs WHERE id = ? AND status = 'open'"";"
3320,/audit/backend/public/api/jobs.php,829,INFO,Superglobal access \$_GET\[[^\]]+\],"$limit = filter_var($_GET['limit'] ?? 10, FILTER_VALIDATE_INT, ["
3321,/audit/backend/public/api/jobs.php,832,INFO,Superglobal access \$_GET\[[^\]]+\],"$offset = filter_var($_GET['offset'] ?? 0, FILTER_VALIDATE_INT, ["
3322,/audit/backend/public/api/jobs.php,846,INFO,Superglobal access \$_GET\[[^\]]+\],if (isset($_GET['department']) && !empty(trim($_GET['department']))) {
3323,/audit/backend/public/api/jobs.php,847,INFO,Superglobal access \$_GET\[[^\]]+\],$department = trim($_GET['department']);
3324,/audit/backend/public/api/jobs.php,855,INFO,Superglobal access \$_GET\[[^\]]+\],if (isset($_GET['location']) && !empty(trim($_GET['location']))) {
3325,/audit/backend/public/api/jobs.php,856,INFO,Superglobal access \$_GET\[[^\]]+\],$location = trim($_GET['location']);
3326,/audit/backend/public/api/jobs.php,864,INFO,Superglobal access \$_GET\[[^\]]+\],if (isset($_GET['job_type']) && !empty(trim($_GET['job_type']))) {
3327,/audit/backend/public/api/jobs.php,865,INFO,Superglobal access \$_GET\[[^\]]+\],$jobType = trim($_GET['job_type']);
3424,/audit/backend/public/api/jobs.php,879,INFO,Raw SQL \bSELECT\b,"$sql = ""SELECT * FROM bt_jobs WHERE {$whereClause} ORDER BY created_at DESC LIMIT ? OFFSET ?"";"
3425,/audit/backend/public/api/jobs.php,890,INFO,Raw SQL \bSELECT\b,"$countSql = ""SELECT COUNT(*) as total FROM bt_jobs WHERE {$whereClause}"";"
3426,/audit/backend/public/api/jobs.php,983,INFO,Raw SQL \bSELECT\b,$deptStmt = $db->prepare('SELECT id FROM bt_departments WHERE name = ? AND active = 1');
3427,/audit/backend/public/api/jobs.php,992,INFO,Raw SQL \bINSERT\b,"$sql = ""INSERT INTO bt_jobs ("
3328,/audit/backend/public/api/jobs.php,1062,INFO,Superglobal access \$_GET\[[^\]]+\],if (!isset($_GET['id'])) {
3329,/audit/backend/public/api/jobs.php,1067,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = filter_var($_GET['id'], FILTER_VALIDATE_INT);"
3428,/audit/backend/public/api/jobs.php,1115,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT created_by, status FROM bt_jobs WHERE id = ?"");"
3429,/audit/backend/public/api/jobs.php,1167,INFO,Raw SQL \bUPDATE\b,"$sql = ""UPDATE bt_jobs SET "" . implode(', ', $updateFields) . "", updated_at = NOW(), updated_by = ? WHERE id = ?"";"
3430,/audit/backend/public/api/jobs.php,1216,INFO,Raw SQL \bDELETE\b,* Maneja DELETE - Eliminar trabajo con control de acceso mejorado y rate limiting
3330,/audit/backend/public/api/jobs.php,1232,INFO,Superglobal access \$_GET\[[^\]]+\],if (!isset($_GET['id'])) {
3331,/audit/backend/public/api/jobs.php,1237,INFO,Superglobal access \$_GET\[[^\]]+\],"$id = filter_var($_GET['id'], FILTER_VALIDATE_INT);"
3431,/audit/backend/public/api/jobs.php,1258,INFO,Raw SQL \bSELECT\b,"$stmt = $db->prepare(""SELECT id, title, status FROM bt_jobs WHERE id = ?"");"
3432,/audit/backend/public/api/jobs.php,1288,INFO,Raw SQL \bUPDATE\b,"$stmt = $db->prepare(""UPDATE bt_jobs SET status = 'deleted', deleted_at = NOW(), deleted_by = ? WHERE id = ?"");"
3488,/audit/backend/public/api/language.php,9,INFO,Raw SQL \bDELETE\b,"if (in_array($method, ['POST','PUT','PATCH','DELETE'], true)) {"
